,PNT_OF_INT,DESCRPTION,SOCIAL_MED,WEBSITE,CATEGORY,LOCATION,X,Y,LONGITUDE,LATITUDE,OBJECTID,RID,geometry
81,RISE Edutainment,Reaching Intelligent Souls Everywhere (RISE); a multifaceted collective of Artists and Activists providing a welcoming and safe platform for the arts. RISE Poetry Open Micis held at Burrows hall every Monday at 6:30pm.,,http://socialinnovation.ca/community/organizations/rise-edutainment-project,Creative,1081 Progress Avenue,326161.149,4850265.841,-79.234370217,43.7940560018,38809.0,82,POINT (-79.2343702170112 43.794056001784)
82,Mayettes,Mayettes restaurant offers the fusion of tastes of Spanish and Asian cuisine with delicious Filipino cooking. Savour the flavours of the distinct Filipino culinary tradition.,,http://mayettes.ca/,Business,3331 Danforth Avenue,322420.018,4838983.173,-79.2812269623,43.6925964194,37900.0,83,POINT (-79.2812269622539 43.6925964193902)
83,Nilgiris,"Nilgiris has been in business since 2001. Their specialties are Idly, all varieties of Dosas, Uthappam, Biriyani, Thali and Sweets and Snacks. They are famous for soft and delicious Idlies. Experience the authentic taste of Tamil Nadu.",,http://www.nilgiristoronto.ca/,Business,3021 Markham Road,324991.629,4854168.184,-79.2487571268,43.8292139899,37901.0,84,POINT (-79.24875712683929 43.8292139899346)
84,O'Conner House,"O'Connor House operates as a hub for educational, cultural and heritage activities that will benefit and enrich our diverse community. The mission of O'Connor House is to inspire all of us by honouring the legacy of a great Canadian, the late Senator Fra",https://www.facebook.com/SenatorOConnorHouse,http://www.oconnorhouse.ca,Heritage,50 Rowena Drive,319503.838,4845342.241,-79.317226121,43.749890463,37877.0,85,POINT (-79.317226121 43.749890463)
85,Metamorphosis (Mural),"Metamorphosis is an inspirational mural based on the theme of change or transformation, bringing positivity and inspiration to the entrance of the community center. This mural project was a partnership between Mural Routes and Warden Wood Community Centr",,http://www.plus.google.com/photos/104851983791047425741/albums/5672741997752493873?banner=pwa&gpsrc=pwrd1,Public Art,74 Firvalley Court,322673.48,4840251.995,-79.278037158,43.704002783,37813.0,86,POINT (-79.278037158 43.704002783)
86,Mitchell's General Store (Mural),"Toronto artist Phil Irish completed the 11th mural on Mural Routes Heritage Trail in September 1998. Located at 1728 Kingston Road in Scarborough, the mural, entitled ""Mitchell's General Store"", depicts life in surrounding community of Birch Cliff in the",,http://www.muralroutes.com/towns/heritagetrail/heritage.htm,Public Art,1728 Kingston Road,323903.383,4839037.84,-79.2628233249,43.6930516976,37814.0,87,POINT (-79.26282332493579 43.6930516975787)
87,Natural Mystic (Mural),"The theme of Natural Mystic is -New Beginnings-It portrays a family-s journey and their will to reach a safe and peaceful destination in which to live, a need that we feel is shared by all humans. 
",,http://www.muralroutes.com/towns/heritagetrail/youth.htm,Public Art,3228 Eglinton Avenue East,327586.064,4844704.456,-79.216895474,43.743946291,37815.0,88,POINT (-79.216895474 43.743946291)
88,Puzzle (Mural),"The concept of the 'Puzzle Mural' was developed by artist Elaine Teguibon as part of an independent study project for the Leadership Training in Mural Making program 2011. Elaine writes in her proposal ""The Jigsaw puzzle represents the importance of crea",,http://www.muralroutes.com/towns/heritagetrail/youth.htm,Public Art,747 Warden Avenue,322283.413,4841788.305,-79.282830154,43.7178490569,37816.0,89,POINT (-79.2828301539877 43.7178490568893)
89,Reflections (Mural),"The theme of a ?media art gallery? was chosen by the youth to reflect their views on how media and advertising affect youths today. Each youth artist created an individual piece within the mural to comment on issues of materialism, body image and self-re",,http://www.muralroutes.com/towns/heritagetrail/youth.htm,Public Art,510 Brimley Road,325060.434,4843765.378,-79.2482919201,43.7355747358,37817.0,90,POINT (-79.2482919201353 43.7355747357863)
90,Sail On And Fair Well (Mural),"This mural was conceived as the companion mural to Sail On and Fair Well (2009). It was designed for the upper level of a neighbourhood plaza, and painted during the summer of 2010. The mural depicts aspects of the landscape and seasons, with some of the",,http://www.muralroutes.com/towns/heritagetrail/community.htm,Public Art,1051 Midland Avenue,324062.373,4844467.397,-79.260653518,43.741911917,37819.0,91,POINT (-79.260653518 43.741911917)
91,Scarborough Rifle Company (Mural),In 1862 the Scarborough Rifle Company was organized with headquarters in a school at Eglinton Avenue near Markham Road. It was the first of several militia companies formed in York County. The company was rushed to the Niagara Frontier three times in 186,,http://www.muralroutes.com/towns/heritagetrail/heritage.htm,Public Art,1577 Kingston Road,323571.085,4838696.753,-79.2669572791,43.6899902147,37820.0,92,POINT (-79.26695727905449 43.6899902146776)
92,Chrysalis (Mural),"Designed by artists Leah Burns, Katy Mulla and Ellen Bleiwas, the mural was inspired by stories told to the artists by Scarborough Storytellers - Bluffers Tales. Working with themes of metamorphosis, transition and migration, members of Bluffers Tales to",,http://www.muralroutes.com/towns/heritagetrail/youth.htm,Public Art,2446 Kingston Road,324954.904,4840881.202,-79.2497092724,43.7096163814,37801.0,93,POINT (-79.2497092723644 43.7096163813918)
93,Flight (Mural),"The mural explores themes of migration, transition, and change - inspired by the migration of the Monarch Butterfly, a fragile and fascinating species that is symbolic of the constant state of change and flux experienced by residents of the Kingston Road",,http://www.muralroutes.com/towns/heritagetrail/youth.htm,Public Art,"-79.26797485351563, 43.70634841918945",323483.704,4840514.825,-79.2679748535,43.7063484192,37876.0,94,POINT (-79.26797485351563 43.70634841918945)
94,Greeting to Taniperla (Mural),Greeting to Taniperla intends to draw attention to the struggle in Chiapas and to issues affecting our own communities.,,http://www.aspacegallery.org/cab2000/projects/greeting.html,Public Art,2685 Kingston Road,325665.113,4841694.341,-79.2408650075,43.7169161101,37807.0,95,POINT (-79.24086500751341 43.7169161100913)
95,"H.M. Schooner, Onondaga c. 1793 (Mural)","The Onondaga was built near Kingston in 1790 and served as flagship of the Provinicial Marine until her retirement in 1797. This was the ship in which Lieutenant-Governor John Graves Simcoe and his wife Elizabeth sailed across Lake Ontario, from Niagara-",,http://www.muralroutes.com/towns/heritagetrail/heritage.htm,Public Art,2340 Kingston Road,324822.075,4840587.778,-79.2513684748,43.7069787427,37808.0,96,POINT (-79.25136847477459 43.7069787426757)
96,Halfway House (Mural),Half Way House was a rural stage coach stop half way between the village of Dunbarton and the St. Lawrence Market in Toronto. The building served many purposes before being moved to Black Creek Pioneer Village in 1965.,,http://www.muralroutes.com/towns/heritagetrail/heritage.htm,Public Art,2502 Kingston Road,325032.499,4841033.34,-79.2487406351,43.7109837025,37809.0,97,POINT (-79.2487406350716 43.7109837025367)
97,In the Way of Progress (Mural),"This commemorative mural depicts passengers boarding a radial car at Stop 17 on the Toronto and York Radial Line, at the junction of St Clair Avenue and Kingston Road. In the background is Scarborough High School, now R.H. King Academy, which was built i",,http://www.muralroutes.com/towns/heritagetrail/heritage.htm,Public Art,2835 Kingston Road,326014.829,4842182.197,-79.2365055331,43.7212972195,37810.0,98,POINT (-79.2365055331032 43.721297219492)
98,Intersections (Mural),"Intersections, was created by student artists as part of a youth summer training initiative run by Mural Routes to discourage graffiti vandalism and improve the visual appearance of the commercial area in Dorset Park/Wexford Heights community.",,http://www.muralroutes.com/towns/heritagetrail/youth.htm,Public Art,2157 Lawrence Avenue East,322154.435,4845047.758,-79.2843258911,43.7471911087,37811.0,99,POINT (-79.2843258911263 43.7471911086836)
99,McGregor Community Centre (Mural),This mural was done by artist David Wright for the renovation of McGregor Community Centre,,http://www.muralroutes.com,Public Art,2231 Lawrence Avenue East,322490.444,4845098.196,-79.280148998,43.747628585,37812.0,100,POINT (-79.280148998 43.747628585)
100,Morningside Branch (TPL),"Morningside is a neighbourhood branch which features: art exhibit space, meeting room, and Leading to Reading program. It is located next to Heron Park Community Recreation Centre near Morningside Park, Highland Creek Watershed, University of Toronto Sca",,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB066,Library,4279 Lawrence Avenue East,330671.896,4847593.84,-79.1784470285,43.7698620372,37791.0,101,POINT (-79.17844702850689 43.7698620372042)
101,Taylor Memorial Branch (TPL),"Taylor Memorial Library is a neighbourhood branch which features: art exhibit space, outdoor reading garden and patio, fireside reading lounge, meeting room, and adult book discussion group. It is located near Rosetta McClain Gardens. This branch hosts e",,http://www.torontopubliclibrary.ca/detail.jsp?Nr=p_cat_branch_name:Taylor%20Memorial,Library,1440 Kingston Road,323221.15,4838456.819,-79.2713061954,43.6878392935,37792.0,102,POINT (-79.2713061954239 43.6878392935495)
102,Bendale Branch (TPL),"Bendale is a neighbourhood branch which features: adult book discussion groups in afternoon and evening and meeting room. It hosts Scarborough Historical Society meetings.
",,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB026&R=LIB026,Library,1515 Danforth Road,325398.686,4845489.212,-79.2440272954,43.7510824059,37793.0,103,POINT (-79.2440272954227 43.7510824059292)
103,Port Union Branch (TPL),Port Union is a neighbourhood branch which features: meeting room and Monday Movie Night program for adults every Monday from 6to 8pm. It is located in the Port Union Community Recreation Centre near the Port Union Waterfront Park and Waterfront Trail. T,,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB077&R=LIB077,Library,5450 Lawrence Avenue East,333738.755,4848696.362,-79.140291245,43.779664586,37794.0,104,POINT (-79.140291245 43.779664586)
104,Highland Creek Branch (TPL),"Highland Creek is a neighbourhood branch which features: meeting room, fireside reading lounge, outdoor reading patio, Leading to Reading program, Tea and Movie program in fall 2014. It is located near the Highland Creek Watershed, University of Toronto",,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB050&R=LIB050,Library,3550 Ellesmere Road,330921.514,4849839.831,-79.1752378239,43.7900692631,37795.0,105,POINT (-79.1752378238658 43.7900692630869)
105,Glamorgan Book Mobile Stop (TPL),"Thursdays, weekly, 3-4:30pm. The Toronto Public Library operates two bookmobiles which serve areas that are not close to library branches.The bookmobile carries a complete range of items similar to what is offered in library branches.",,http://www.torontopubliclibrary.ca/bookmobiles/,Library,120 Dundalk Drive,321923.288,4847713.079,-79.2871116149,43.7711874751,37796.0,106,POINT (-79.2871116149084 43.7711874751228)
106,Scarborough Town Centre Book Mobile Stop (TPL),"Thursdays, every other week, 6-7:30pm. Ellesmere and McCowan Avenue, Northeast corner. The Toronto Public Library operates two bookmobiles which serve areas that are not close to library branches.The bookmobile carries a complete range of items similar t",,http://www.torontopubliclibrary.ca/bookmobiles/,Library,300 Borough Drive,324263.493,4848286.541,-79.2580219048,43.7762918562,37797.0,107,POINT (-79.2580219047864 43.7762918561851)
107,Oakridge Community Centre Book Mobile Stop (TPL),"Thursdays, every other week, 11am-12:30pm. The Toronto Public Library operates two bookmobiles which serve areas that are not close to library branches.The bookmobile carries a complete range of items similar to what is offered in library branches.
",,http://www.torontopubliclibrary.ca/bookmobiles/,Library,63 Pharmacy Avenue,322200.777,4839187.539,-79.2839401027,43.6944411322,37798.0,108,POINT (-79.28394010265291 43.6944411321534)
108,Birch Cliff Village (Mural),This project is a partnership of Birch Cliff Village Residents Mural Committee and Mural Routes. Mural Routes was approached by residents of the Birch Cliff Village community in east Toronto to find ways of improving their neighbourhood through mural art,,http://www.muralroutes.com/towns/heritagetrail/youth.htm,Public Art,1564 Kingston Road,323519.879,4838714.012,-79.2675918875,43.6901468721,37800.0,109,POINT (-79.267591887455 43.6901468720814)
109,Centennial United Church,Centennial Church was built in 1891. It is an excellent example of late Gothic Revival style architecture with Victorian overtones.,,,Heritage,6540 Kingston Road,332601.936,4850321.122,-79.1543326962,43.7943405005,37782.0,110,POINT (-79.15433269619631 43.7943405005146)
110,Scarborough Historical Society,"Preserving, promoting and stimulating an interest in the history of Scarborough, the Scarborough Historical Society is one of the largest and most active historical societies in Canada. Whether built or natural heritage,
genealogy, artifacts, archival do",,,Community,6282 Kingston Road,331949.816,4849701.403,-79.1624678951,43.7887862705,38812.0,111,POINT (-79.1624678950766 43.7887862704709)
111,Albert Campbell Library (TPL),"Albert Campbell Library is a disctrict library that features: Two book discussion groups in English (adult and seniors) and one in Mandarin, Computer Learning Centre, meeting rooms, Leading to Reading program, Yough Advisory Group, and English Conversati",,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB03,Library,496 Birchmount Road,323372.498,4840704.238,-79.269351385,43.7080647928,37784.0,112,POINT (-79.2693513849578 43.7080647927569)
112,Cedarbrae Branch (TPL),"Cedarbrae is a district library which features: adult book discussion group, outdoor reading area, local history room with Scarborough historical collection, meeting room, Computer Learning Centre, KidsStop Early Literacy Centre, Leading to Reading progr",,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB08,Library,545 Markham Road,327011.648,4846213.733,-79.2239684307,43.7575573466,37785.0,113,POINT (-79.22396843069789 43.7575573465952)
113,Cliffcrest Branch (TPL),"Cliffcrest is a neighbourhood branch which features: art exhibit space, adult book discussion group, and meeting rooms. It is also located in Cliffcrest Plaze near Bluffer's Park and the Scarborough Bluffs. The library hosts Memoir wriring group on Tuesd",,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB033,Library,3017 Kingston Road,326474.451,4842626.318,-79.230780156,43.725273175,37786.0,114,POINT (-79.23078015599999 43.725273175)
114,Eglinton Square Branch (TPL),"Eglinton Square Library is a neighbourhood branch which features: meeting room, adult book discussion groups in afternnon and evening, and monthly movie program on 2nd Thursday afternoon of each month. It is located in Englinton Square Mall. It hosts Aut",,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB042,Library,1 Eglinton Square,320832.034,4842358.377,-79.3008259479,43.7230127689,37787.0,115,POINT (-79.3008259478585 43.7230127689251)
115,Guildwood Branch (TPL),"Guildwood is a neighbourhood branch which features: art exhibit space and adult book discussion group. It is located in Guildwood Plaze near the Guild Park & Gardens.
",,http://www.torontopubliclibrary.ca/detail.jsp?R=LIB139,Library,123 Guildwood Parkway,328996.403,4845031.21,-79.1993737354,43.7468515948,37788.0,116,POINT (-79.1993737354089 43.7468515948261)
116,Kennedy/Eglinton Branch (TPL) / ProTech Media Centre,"Kennedy/Eglinton Library is a community branch that features: adult book discussion group, meeting room, Teen Zone, youth Advisory Group, YAG book discussion group, and Kennedy/Eglinton ProTech Media Centre which offers access to technology and a variety",,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB138&R=LIB138,Library,2380 Eglinton Avenue East,323283.516,4843392.288,-79.2703636475,43.7322626856,37789.0,117,POINT (-79.2703636474637 43.7322626855754)
117,McGregor Park Brench (TPL),"McGregor Park is a neighbourhood branch which features: meeting room, adult book discussion group and Youth Advisory Group. It is attached to the McGregor Park Community Centre.
",,http://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMLIB064&R=LIB064,Library,2219  Lawrence Avenue East,322414.761,4845128.407,-79.281090929,43.7479109207,37790.0,118,POINT (-79.2810909290025 43.7479109206534)
118,St Margaret In the Pines West Hill,"St. Margaret is the first Anglican church in Scarborough built in 1833. A brick personage was built on six acres adjoining the churchyard in 1857, and provided a comfortable home for successive clergy for 100 years. The original wooden church, destroyed",,,Heritage,4130 Lawrence Avenue East,329525.059,4847453.376,-79.1926983278,43.7686365005,37770.0,119,POINT (-79.192698327765 43.7686365004751)
119,Richardson House,The first storey of this house was built in 1824 of wood and the second storey was added later when the wood was bricked over. J.H.Richardson was the person instrumental in establishing the West Hill Post Office. This house is a very good example of the,,,Heritage,27 Old Kingston Road,330358.953,4848171.684,-79.1823067137,43.775073988,37771.0,120,POINT (-79.1823067136832 43.7750739879751)
120,Richardson-Corson House,"In 1896, John Hunter Richardson became Scarborough Township treasurer and about 1904 he built a new house on the lot adjacent to he family's original dwelling. After his death, the property and the 1904 house was acquired by Dr. Corson.",,,Heritage,21 Old Kingston Road,330357.979,4848124.45,-79.1823210507,43.7746488614,37772.0,121,POINT (-79.1823210506753 43.7746488613568)
121,James Thomson House,"This property was patented in 1802 by Andrew Thomson, a native of Dumfrieshire, Scotland and a brother to Scarborough's first white settler, David Thomson. His son James A. acquired the land in 1839 and in 1840, he built this bank house with stones gathe",,,Heritage,146 St Andrews Road,325001.535,4846506.983,-79.2489204149,43.7602542416,37776.0,122,POINT (-79.24892041494461 43.7602542416408)
122,William Thomson House,"Built in 1848, this house was the dwelling place for wiliam Thomson, the eighth child of Scarborough's first settlers. His great granddaughter Dr. Isabella M. Davidson, became the first Scarborough woman to graduate in medicine in 1902 and, after serving",,,Heritage,1 St Andrews Road,324278.909,4846658.711,-79.2578894787,43.761639373,37777.0,123,POINT (-79.2578894787158 43.7616393729596)
123,Melville Presbyterian Church,"On a Sunday in February 1852 the church, now called Melville Presbyterian was consecrated. The following Sunday 24 members in their new church celebrated the church?s first Communion.Many members of Melville Presbyterian would walk, from the farms that s",,http://melvillechurch.ca/about-us/,Heritage,70 Old Kingston Road,330449.636,4848362.755,-79.1811711694,43.7767906939,37778.0,124,POINT (-79.1811711694133 43.7767906939363)
124,Church of St. Jude Wexford,"St. Jude's Anglican Church is a small but perfectly scaled model in wood of a stone prototype in England which was Reverend william Stewart Darling, St. Jude's first minister's home church.",,http://www.stjudewexford.ca/web/history.php,Heritage,1745 Victoria Park Avenue,320345.935,4844106.523,-79.3068087291,43.7387587288,37779.0,125,POINT (-79.30680872913889 43.7387587288332)
125,Zion Wexford United Church,"This church was built in 1876. Today, the old building seres as a meeting hall for Zion-Wexford United Church which holds regular services in the modern building to the west.",,,Heritage,2102 Lawrence Avenue East,321660.117,4844992.637,-79.2904655169,43.7467062626,37780.0,126,POINT (-79.2904655168695 43.7467062625848)
126,Highland Creek Public School,"Highland Creek Public School, formerly SS#7 is designated under the Ontario heritage Act.
It is one of the oldest schools in Scarborough and architecturally unique in the community.",,,Heritage,1410 Military Trail,330665.863,4849110.073,-79.1784494765,43.7835095173,37781.0,127,POINT (-79.17844947646149 43.7835095172513)
127,Washington Manse (Hope Church),Washington Manse is also calleed Washington Parsonage or Chester House. It was built in 1875 and enlarged in 1893. This was the first parsonage built by the Washington Methodist congregation in Scarborough. The building is a third quarter of the 19th cen,,http://www.hopetoronto.com/site/cpage.asp?cpage_id=140031315&sec_id=140003679,Heritage,14 Centre Street,327222.584,4844687.179,-79.2214122643,43.7438103341,37756.0,128,POINT (-79.2214122642639 43.7438103340805)
128,Birchmount Firehall,"The Birchmount Firehall was the first firehall to be built in Scarborough. The building was built in 1925 not only housing the Township's first fire department, but the first police department as well. It was also used as the Township's jail for a number",,,Heritage,351 Birchmount Road,323741.045,4839796.717,-79.264810207,43.6998867151,37759.0,129,POINT (-79.26481020702479 43.6998867151007)
129,Mann Coach House,"Mann Coach House was a gate house to Donald Mann's massive house that had 20+ rooms.  Donald Mann was a Canadian railway contractor and entrepreneur. Unfortunetely, his massive house that was at the South of the gate house was burnt down in the 1930s and",,,Heritage,1253 Kingston Road,322726.821,4837921.412,-79.2774564709,43.6830317382,37761.0,130,POINT (-79.2774564709387 43.6830317382251)
130,Stinson's Stop 17 Shop,"Stionson's Shop is a Scarborough landmark as a fine place to stop for soda in early 20th century. Unfortunetely, this building has been abandoned. It received heritage designation in 2008 as it is a rare surviving building connected to the recreational a",,,Heritage,171 Midland Avenue,325104.266,4841009.966,-79.2478509672,43.7107713465,37764.0,131,POINT (-79.2478509672477 43.7107713465213)
131,Eckardt House,"Also known as ""Edgemont"" House, it was a large summer home of businessman H.P. Eckardt overlooking Lake Ontario. It remains a picturesque, private dwelling today, although altered and renovated on numerous occasions over the years. This building is an ex",,,Heritage,1 Fallingbrook Road,322830.816,4837110.449,-79.2761930934,43.6757298035,37765.0,132,POINT (-79.27619309343579 43.6757298034885)
132,William Devenish House,"This building was the house of Wiliam Devenish who settled in 1803 on what was originally a 200 acre farm lot. In 1807, he built the first frame barn in Scarborough on this land. Devenish served 27 years as assessor, tax collector and copmmissioner for t",,,Heritage,1355 Victoria Park Avenue,321002.376,4841599.86,-79.298734668,43.716181507,37766.0,133,POINT (-79.2987346679699 43.7161815069719)
133,St Andrews Presbyterian Church,St Andrews Church and Cemetery area is a beautiful historical area of Scarborough. The church cemetery contains a history of early Scarborough; cemetery sit on land that was once part of the Thomson farm.,,http://www.standrewsscarborough.com/cemetary/,Heritage,115 St Andrews Road,324759.687,4846504.187,-79.251920938,43.760227068,37767.0,134,POINT (-79.251920938 43.760227068)
134,Stone Cottage Pub/Jeremiah Annis House,This building was built in 1876 and was a house of Jeremiah Annis. Jeremiah Annis came to Canada from the U.S. in 1793 and opened one of the first inns for pioneer travellers along Kingston Road in 1808. South of the church is the old annis family cemeta,,,Heritage,3750 Kingston Road,328210.652,4845037.598,-79.2091295981,43.7469341868,37769.0,135,POINT (-79.2091295980518 43.7469341867642)
135,Theatre Scarborough,Theatre Scarborough is an affiliation of community theatre groups who perform at the Scarborough Village Theatre.,,http://www.theatrescarborough.com,Creative,3600 Kingston Road,327605.615,4844272.107,-79.216670924,43.740054109,37746.0,136,POINT (-79.216670924 43.740054109)
136,Framing Dames Art School,"The art school focuses on the elements and principles of design by exploring different media, and concentrating on the development of each students own creative potential.",https://www.facebook.com/pages/Framing-Dames/239853708475,http://www.framingdamesartschool.com,Creative,362 Old Kingston Road,331304.847,4849129.651,-79.1705099098,43.7836635639,37747.0,137,POINT (-79.1705099098039 43.7836635639233)
137,RH King Academy,"The academy strives to to enable all students to achieve their full potential through a well-rounded education, structured by the R.H. King Academy concepts and guided by a commitment to the core values of caring, striving and serving",,http://www.schools.tdsb.on.ca/rhking,Creative,3800 St Clair Avenue East,325938.005,4842330.127,-79.2374532288,43.7226309438,37748.0,138,POINT (-79.2374532287828 43.7226309437639)
138,Wexford Collegiate School for the Arts,"Wexford College provides a strong academic, athletic and technological program for all its students. Its safe and caring environment inspires life-long learning and a desire for personal excellence.",,http://www.wexfordcsa.ca,Creative,1176 Pharmacy Avenue,320344.841,4844929.661,-79.3067985983,43.746168173,37749.0,139,POINT (-79.306798598276 43.7461681730236)
139,Guild Alive with Culture,"The Guild Alive with Culture Art Festival is a two day event featuring artists, vendors, music, and demonstrations. The festival showcases local talent in music, and visual arts, new eateries and more. Family friendly, there are also community groups, li",,http://www.guildalivewithculture.ca,Creative,"-79.191934, 43.747308",329595.133,4845085.052,-79.191934,43.747308,37873.0,140,POINT (-79.191934 43.747308)
140,Birch Cliff Public School,"Birch Cliff P.S. is a school steeped in the history of Scarborough. Mrs. Reece, the first principal at Birch Cliff, left a journal dating back to 1916. Entries provide a glimpse of life at the school; successes at the Agincourt and New Market School Fair",,,Heritage,1650 Kingston Road,323689.151,4838927.058,-79.265481546,43.692051549,37752.0,141,POINT (-79.265481546 43.692051549)
141,Fred Coates House,"This is the house of two Canadian artists, Frederick and Luoise coates. Chine Drive, where the house is located, is a small and unique community that is hidden.The topography of Chine Drive includes a wooded ravine to the west which the southern portion",,,Heritage,68 Chine Drive,325435.087,4840906.885,-79.2437497655,43.7098342368,37753.0,142,POINT (-79.2437497655386 43.7098342367615)
142,J. P. Wheler House  (Bendale Bible Chapel),"This was the home of J.P. Wheler, a very prominent miller, one of the fathers of Scarborough's incorporation in 1850 and distinguished as holding the office of Reeve for 18 years. The house is an example of the rural Victorian style in nineteenth century",,,Heritage,328 Bellamy Road N,326132.213,4845869.246,-79.2349034484,43.7544823172,38810.0,143,POINT (-79.23490344843469 43.7544823172061)
143,Saint Augustine's Seminary,"In 1890, the idea was conceived to build a seminary which would provide native English speaking priests to parished throughout Canada. After various fundraising campaign, St. Augustine's Seminary was begun in 1910. Completed 3 years later and fitted to a",,http://www.staugustines.on.ca/index.html,Heritage,2661 Kingston Road,325616.513,4841293.08,-79.241483608,43.7133057727,37755.0,144,POINT (-79.24148360798149 43.7133057727441)
144,Guild Festival Theatre,Guild Festival Theatre presents a high-profile annual theatre festival of classics on the open-air Greek stage at the historic Guild.,https://www.facebook.com/GuildFestivalTheatre,http://www.guildfestivaltheatre.ca,Creative,201 Guildwood Parkway,329684.388,4845298.882,-79.190815867,43.749229763,37734.0,145,POINT (-79.190815867 43.749229763)
145,"Guild Park (Inn, Greek Theatre, Gardens)","Guild Park was site of the innovative Guild of All Arts, a community association focused on improving, enhancing and pretoecing Guild Park and Gardens.",https://www.facebook.com/GuildPark,http://www.guildpark.ca,Creative,201 Guildwood Parkway,329698.388,4845298.882,-79.19064203,43.749229296,37735.0,146,POINT (-79.19064203000001 43.749229296)
146,Healthy Living Through Art,"Healthy Living Through Art is for children and yough between the age of 5 to 18. HLA strives to facilitate dialogue about healthy living among children, youth and families.",,http://www.healthylivingart.ca,Creative,225 Morningside Avenue,330144.859,4847285.775,-79.1850076952,43.7671070711,37736.0,147,POINT (-79.1850076952483 43.7671070711353)
147,Mural Routes,"Mural Routes is the only member-based not-for-profit arts service organization in Canada dedicated to the creation, development and promotion of public wall art.",,http://www.muralroutes.com,Creative,1859 Kingston Road,324234.848,4839307.024,-79.258698367,43.695457489,37737.0,148,POINT (-79.25869836699999 43.695457489)
148,Music for Life Conservatory,Music for Life Conservatory offers access quality music programs at the lowest rates possible to the community while maintaining school's productivity and efficiency in the community.,,http://www.musicforlifeconservatory.com,Creative,1880-1890 Eglinton Avenue East,320939.282,4842638.012,-79.2994863159,43.7255274874,38808.0,149,POINT (-79.29948631594 43.7255274874045)
149,Scarborough Arts,Scarborough Arts is a non-profit organization; the only arts organization of its kind specifically serving the Scarborough community. We bring artists to the community and community to the arts.,https://twitter.com/scararts,http://www.scarborougharts.com,Creative,1859 Kingston Road,324227.848,4839300.024,-79.2587886605,43.695403262,37739.0,150,POINT (-79.2587886604676 43.6954032619519)
150,Scarborough Film Festival,"Scarborough Film Festival is an annual six day celebration showcasing the latest acclaimed local, Canadian and world cinema.",https://www.facebook.com/ScarboroughFilmFestival,http://www.scarboroughfilmfestival.com,Creative,2236 Queen Street East,321933.922,4836790.574,-79.2873260834,43.6728716357,37871.0,151,POINT (-79.2873260834314 43.6728716357183)
151,Scarborough Historical Museum,Scarborough Museum traces the story of this Toronto community's rural roots through the exploration of two centuries of immigration.,https://www.facebook.com/scarboroughmuseum,http://www.toronto.ca/wps/portal/contentonly?vgnextoid=a27d2271635af310VgnVCM10000071d60f89RCRD,Creative,"-79.169856,43.784111",331357.022,4849180.525,-79.169856,43.784111,37872.0,152,POINT (-79.169856 43.784111)
152,Scarborough Philharmonic Orchestra,"a community orchestra, dedicated to enriching lives through high-quality musical performances, offering an affordable, fulfilling, and convenient live entertainment experience.",https://www.facebook.com/ScarboroughPhilharmonicOrchestra,http://www.spo.ca,Creative,3007 Kingston Road,326499.062,4842623.242,-79.230474813,43.725244774,37742.0,153,POINT (-79.230474813 43.725244774)
153,Scarborough Town Jazz,"Scarborough Town Jazz is a community music festival that also features community arts and crafts, workshop, dance and food.",https://www.facebook.com/latinmusicprod,http://www.vlatinmusicprod.com/,Creative,100 Consilium Place,324723.039,4848371.618,-79.2523100056,43.7770455384,37744.0,154,POINT (-79.2523100056016 43.7770455384218)
154,Scarborough Village Theatre,"Scarborough Village Theatre is a venue for Scarborough Music Theatre, Scarborough Players, and Scarborough Theatre Guild.",,http://www.theatrescarborough.com,Creative,3600 Kingston Road,327598.615,4844265.107,-79.216758124,43.739991316,37745.0,155,POINT (-79.21675812399999 43.739991316)
155,Scarborough Ribfest,"Scarborough Ribfest is the biggest family-friendly community annual event in Scarborough, held in the month of August.",,http://www.scarboroughribfest.com,Community,1005 Brimley Road,324423.827,4846187.109,-79.256103584,43.757382007,37723.0,156,POINT (-79.256103584 43.757382007)
156,Taste of Lawrence,"Taste of Lawrence celebrates the cultural diversity of Toronto and the GTA by showcasing the unique cuisine, music, performers, vendors, retailers and community groups.",,http://www.tasteoflawrence.com,Community,1720 Lawrence Avenue East,320155.963,4844538.711,-79.3091549246,43.7426530451,37724.0,157,POINT (-79.30915492455939 43.7426530451029)
157,St. Paul's United Church,"St. Paul's United Church is a strong, small church seeking to build on its strengths.ÿ",,,Community,200 McIntosh Street,324840.354,4840912.337,-79.2511294997,43.7098997137,37725.0,158,POINT (-79.25112949972591 43.7098997137018)
